Row Labels,ProductCombo,,,,,,,,,,,,,,,,,,,,,,,,,,
19156792503,7780,7840,,,,,,,,,,,,,,,,,,,,,,,,,
19156792506,7640,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156792510,1150,1350,8720,,,,,,,,,,,,,,,,,,,,,,,,
19156792513,7769,9179,,,,,,,,,,,,,,,,,,,,,,,,,
19156792514,1101,1350,7980,CNY1,,,,,,,,,,,,,,,,,,,,,,,
19156792515,7980,8720,,,,,,,,,,,,,,,,,,,,,,,,,
19156792517,1350,2010,7670,7710,,,,,,,,,,,,,,,,,,,,,,,
19156792518,2010,7800,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156792522,1151,1350,,,,,,,,,,,,,,,,,,,,,,,,,
19156792524,6207,7827,,,,,,,,,,,,,,,,,,,,,,,,,
19156792527,1319,1719,3609,7649,7699,7749,,,,,,,,,,,,,,,,,,,,,
19156792528,1860,2010,3400,,,,,,,,,,,,,,,,,,,,,,,,
19156792529,9160,9180,,,,,,,,,,,,,,,,,,,,,,,,,
19156792530,1150,3400,,,,,,,,,,,,,,,,,,,,,,,,,
19156792531,1150,3400,,,,,,,,,,,,,,,,,,,,,,,,,
19156792532,1250,1620,3500,,,,,,,,,,,,,,,,,,,,,,,,
19156792533,2049,2759,3359,3609,7729,,,,,,,,,,,,,,,,,,,,,,
19156792534,1350,3400,,,,,,,,,,,,,,,,,,,,,,,,,
19156792535,5500,7690,7830,CNY1,,,,,,,,,,,,,,,,,,,,,,,
19156792536,1560,5800,7780,,,,,,,,,,,,,,,,,,,,,,,,
19156792539,1869,2800,5570,,,,,,,,,,,,,,,,,,,,,,,,
19156792540,1869,3500,CNY1,,,,,,,,,,,,,,,,,,,,,,,,
19156792541,7620,7960,8720,,,,,,,,,,,,,,,,,,,,,,,,
19156792542,1151,2010,3400,4757,6210,,,,,,,,,,,,,,,,,,,,,,
19156792546,1150,1719,2017,2059,3400,3509,9189,,,,,,,,,,,,,,,,,,,,
19156792547,1560,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156792549,1350,6110,,,,,,,,,,,,,,,,,,,,,,,,,
19156792557,2017,7650,,,,,,,,,,,,,,,,,,,,,,,,,
19156792559,7770,8720,,,,,,,,,,,,,,,,,,,,,,,,,
19156792560,7720,7840,,,,,,,,,,,,,,,,,,,,,,,,,
19156792562,2010,7650,,,,,,,,,,,,,,,,,,,,,,,,,
19156792564,2010,6110,7740,,,,,,,,,,,,,,,,,,,,,,,,
19156792566,2010,6137,7739,,,,,,,,,,,,,,,,,,,,,,,,
19156792567,7720,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792568,6110,7690,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156792569,1101,7640,,,,,,,,,,,,,,,,,,,,,,,,,
19156792570,2019,5709,7789,7829,7839,9109,9159,,,,,,,,,,,,,,,,,,,,
19156792571,1310,5900,,,,,,,,,,,,,,,,,,,,,,,,,
19156792572,2800,9170,,,,,,,,,,,,,,,,,,,,,,,,,
19156792573,7640,7740,,,,,,,,,,,,,,,,,,,,,,,,,
19156792575,1151,7710,,,,,,,,,,,,,,,,,,,,,,,,,
19156792576,7960,7980,9180,,,,,,,,,,,,,,,,,,,,,,,,
19156792577,2010,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792578,7870,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156792579,3609,6137,7740,7980,,,,,,,,,,,,,,,,,,,,,,,
19156792580,7807,7827,,,,,,,,,,,,,,,,,,,,,,,,,
19156792582,1310,1710,7850,,,,,,,,,,,,,,,,,,,,,,,,
19156792583,7760,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792584,2017,7739,,,,,,,,,,,,,,,,,,,,,,,,,
19156792588,4950,7840,7870,7969,,,,,,,,,,,,,,,,,,,,,,,
19156792589,1350,3100,,,,,,,,,,,,,,,,,,,,,,,,,
19156792590,1210,7610,7660,,,,,,,,,,,,,,,,,,,,,,,,
19156792596,2050,3100,7600,7610,7710,7720,7810,7860,7870,7900,7960,7980,,,,,,,,,,,,,,,
19156792598,1560,1869,7830,8010,9149,9189,,,,,,,,,,,,,,,,,,,,,
19156792600,3600,4707,6100,6240,7760,,,,,,,,,,,,,,,,,,,,,,
19156792608,3350,7900,,,,,,,,,,,,,,,,,,,,,,,,,
19156792609,1100,1310,,,,,,,,,,,,,,,,,,,,,,,,,
19156792610,1460,5700,,,,,,,,,,,,,,,,,,,,,,,,,
19156792611,2759,6117,7780,7807,7839,,,,,,,,,,,,,,,,,,,,,,
19156792612,6007,6207,7600,7690,,,,,,,,,,,,,,,,,,,,,,,
19156792613,8735,8745,,,,,,,,,,,,,,,,,,,,,,,,,
19156792614,7779,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792615,6240,7730,,,,,,,,,,,,,,,,,,,,,,,,,
19156792616,7690,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156792618,1150,7730,,,,,,,,,,,,,,,,,,,,,,,,,
19156792619,4077,4127,8730,,,,,,,,,,,,,,,,,,,,,,,,
19156792620,1909,2017,,,,,,,,,,,,,,,,,,,,,,,,,
19156792622,7740,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156792624,4707,9120,,,,,,,,,,,,,,,,,,,,,,,,,
19156792625,1460,7600,7770,8010,,,,,,,,,,,,,,,,,,,,,,,
19156792626,7810,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156792627,1151,1310,6110,6210,7760,7870,,,,,,,,,,,,,,,,,,,,,
19156792629,7857,8017,,,,,,,,,,,,,,,,,,,,,,,,,
19156792631,7610,7640,7790,,,,,,,,,,,,,,,,,,,,,,,,
19156792632,1151,1350,2010,,,,,,,,,,,,,,,,,,,,,,,,
19156792633,1350,7780,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156792636,2040,7790,,,,,,,,,,,,,,,,,,,,,,,,,
19156792638,2750,7770,7870,,,,,,,,,,,,,,,,,,,,,,,,
19156792639,1720,6100,7769,7980,9179,,,,,,,,,,,,,,,,,,,,,,
19156792640,2009,2059,7630,7699,7769,7809,9179,,,,,,,,,,,,,,,,,,,,
19156792641,7740,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156792642,2800,3100,7670,,,,,,,,,,,,,,,,,,,,,,,,
19156792643,7720,7850,,,,,,,,,,,,,,,,,,,,,,,,,
19156792644,6130,7789,,,,,,,,,,,,,,,,,,,,,,,,,
19156792645,1151,2017,,,,,,,,,,,,,,,,,,,,,,,,,
19156792647,1100,3600,6130,7770,7980,,,,,,,,,,,,,,,,,,,,,,
19156792649,2010,6130,7827,,,,,,,,,,,,,,,,,,,,,,,,
19156792650,4840,7690,7710,7870,,,,,,,,,,,,,,,,,,,,,,,
19156792652,3400,6107,7770,,,,,,,,,,,,,,,,,,,,,,,,
19156792653,8727,8737,8747,,,,,,,,,,,,,,,,,,,,,,,,
19156792656,1151,6000,,,,,,,,,,,,,,,,,,,,,,,,,
19156792659,2040,7780,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156792660,2010,3700,,,,,,,,,,,,,,,,,,,,,,,,,
19156792663,7720,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792664,3250,3259,7780,7789,7969,,,,,,,,,,,,,,,,,,,,,,
19156792665,7730,7760,7780,7830,7960,,,,,,,,,,,,,,,,,,,,,,
19156792666,6110,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156792669,4860,7690,7980,9180,,,,,,,,,,,,,,,,,,,,,,,
19156792670,1560,3400,6007,7720,7847,7969,9170,9179,,,,,,,,,,,,,,,,,,,
19156792671,1101,1151,9150,,,,,,,,,,,,,,,,,,,,,,,,
19156792673,2010,7740,7779,7807,,,,,,,,,,,,,,,,,,,,,,,
19156792676,6100,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156792677,1150,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792680,7800,8700,,,,,,,,,,,,,,,,,,,,,,,,,
19156792682,7600,7670,7740,9150,,,,,,,,,,,,,,,,,,,,,,,
19156792683,1150,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792685,3600,8740,,,,,,,,,,,,,,,,,,,,,,,,,
19156792687,8735,8745,,,,,,,,,,,,,,,,,,,,,,,,,
19156792688,2010,7690,7730,7780,7800,,,,,,,,,,,,,,,,,,,,,,
19156792689,7610,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156792691,6100,8730,,,,,,,,,,,,,,,,,,,,,,,,,
19156792693,1310,1719,7789,9189,,,,,,,,,,,,,,,,,,,,,,,
19156792695,3259,3359,7649,7719,7819,,,,,,,,,,,,,,,,,,,,,,
19156792696,7850,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792697,1350,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156792698,7659,7829,,,,,,,,,,,,,,,,,,,,,,,,,
19156792699,3400,7827,,,,,,,,,,,,,,,,,,,,,,,,,
19156792700,4707,6007,,,,,,,,,,,,,,,,,,,,,,,,,
19156792703,7610,7850,7870,7980,,,,,,,,,,,,,,,,,,,,,,,
19156792705,7720,7740,,,,,,,,,,,,,,,,,,,,,,,,,
19156792706,1100,2010,6100,,,,,,,,,,,,,,,,,,,,,,,,
19156792713,3350,5800,7910,,,,,,,,,,,,,,,,,,,,,,,,
19156792714,7600,7610,7660,7687,,,,,,,,,,,,,,,,,,,,,,,
19156792715,7600,7740,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156792718,7827,7850,,,,,,,,,,,,,,,,,,,,,,,,,
19156792722,7697,7769,7779,,,,,,,,,,,,,,,,,,,,,,,,
19156792725,7780,7830,8725,,,,,,,,,,,,,,,,,,,,,,,,
19156792727,1909,2049,,,,,,,,,,,,,,,,,,,,,,,,,
19156792728,3250,7640,,,,,,,,,,,,,,,,,,,,,,,,,
19156792729,7690,7770,7779,8727,,,,,,,,,,,,,,,,,,,,,,,
19156792730,7640,7980,9139,,,,,,,,,,,,,,,,,,,,,,,,
19156792731,1710,7789,,,,,,,,,,,,,,,,,,,,,,,,,
19156792732,2010,7697,,,,,,,,,,,,,,,,,,,,,,,,,
19156792733,1059,2049,2809,3409,7609,,,,,,,,,,,,,,,,,,,,,,
19156792735,5560,7857,,,,,,,,,,,,,,,,,,,,,,,,,
19156792739,2010,3400,3500,6007,7980,,,,,,,,,,,,,,,,,,,,,,
19156792742,7710,7779,7960,,,,,,,,,,,,,,,,,,,,,,,,
19156792743,2010,2759,2809,,,,,,,,,,,,,,,,,,,,,,,,
19156792748,6000,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156792749,7719,9189,,,,,,,,,,,,,,,,,,,,,,,,,
19156792754,7760,7830,,,,,,,,,,,,,,,,,,,,,,,,,
19156792755,6107,7710,,,,,,,,,,,,,,,,,,,,,,,,,
19156792756,7780,7790,,,,,,,,,,,,,,,,,,,,,,,,,
19156792757,1350,3100,7830,7960,7980,,,,,,,,,,,,,,,,,,,,,,
19156792758,7610,7690,,,,,,,,,,,,,,,,,,,,,,,,,
19156792763,2010,2750,,,,,,,,,,,,,,,,,,,,,,,,,
19156792764,6000,6100,,,,,,,,,,,,,,,,,,,,,,,,,
19156792765,6000,6100,7640,,,,,,,,,,,,,,,,,,,,,,,,
19156792766,3409,7699,7749,9189,,,,,,,,,,,,,,,,,,,,,,,
19156792767,3100,3600,5000,5009,5200,5209,,,,,,,,,,,,,,,,,,,,,
19156792771,2010,7710,,,,,,,,,,,,,,,,,,,,,,,,,
19156792772,7829,9109,,,,,,,,,,,,,,,,,,,,,,,,,
19156792773,7900,7910,92076,,,,,,,,,,,,,,,,,,,,,,,,
19156792774,2759,3400,6107,7749,7827,,,,,,,,,,,,,,,,,,,,,,
19156792775,5800,5900,7640,7720,7790,7827,7840,,,,,,,,,,,,,,,,,,,,
19156792776,2010,7730,,,,,,,,,,,,,,,,,,,,,,,,,
19156792779,1100,6110,,,,,,,,,,,,,,,,,,,,,,,,,
19156792785,1350,4707,,,,,,,,,,,,,,,,,,,,,,,,,
19156792786,7827,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792792,2759,7710,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156792794,2010,6130,,,,,,,,,,,,,,,,,,,,,,,,,
19156792795,5900,6210,8710,,,,,,,,,,,,,,,,,,,,,,,,
19156792797,7747,7779,,,,,,,,,,,,,,,,,,,,,,,,,
19156792798,6100,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792801,7690,7860,7910,,,,,,,,,,,,,,,,,,,,,,,,
19156792802,7770,7900,,,,,,,,,,,,,,,,,,,,,,,,,
19156792806,7699,7749,7969,,,,,,,,,,,,,,,,,,,,,,,,
19156792807,1359,2019,2049,,,,,,,,,,,,,,,,,,,,,,,,
19156792809,4090,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156792810,1460,1900,1907,3500,3509,7779,7827,7830,7837,,,,,,,,,,,,,,,,,,
19156792813,6007,6207,7760,7780,,,,,,,,,,,,,,,,,,,,,,,
19156792817,2050,7610,,,,,,,,,,,,,,,,,,,,,,,,,
19156792821,6007,6100,,,,,,,,,,,,,,,,,,,,,,,,,
19156792823,6210,9180,,,,,,,,,,,,,,,,,,,,,,,,,
19156792824,2010,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792825,7870,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792826,2750,7790,7827,8730,8740,,,,,,,,,,,,,,,,,,,,,,
19156792827,3400,6240,8760,,,,,,,,,,,,,,,,,,,,,,,,
19156792828,3350,7720,8017,,,,,,,,,,,,,,,,,,,,,,,,
19156792829,7730,7790,7827,,,,,,,,,,,,,,,,,,,,,,,,
19156792831,2010,7760,7830,8010,,,,,,,,,,,,,,,,,,,,,,,
19156792832,6007,6110,7740,7760,7827,,,,,,,,,,,,,,,,,,,,,,
19156792833,5900,7650,7870,7960,,,,,,,,,,,,,,,,,,,,,,,
19156792834,2010,7720,,,,,,,,,,,,,,,,,,,,,,,,,
19156792835,1350,1907,,,,,,,,,,,,,,,,,,,,,,,,,
19156792836,2800,4900,,,,,,,,,,,,,,,,,,,,,,,,,
19156792837,7739,7779,,,,,,,,,,,,,,,,,,,,,,,,,
19156792838,7660,7760,7900,,,,,,,,,,,,,,,,,,,,,,,,
19156792840,7730,7900,,,,,,,,,,,,,,,,,,,,,,,,,
19156792841,2759,7760,7780,,,,,,,,,,,,,,,,,,,,,,,,
19156792842,1350,2750,5700,5800,6110,7800,7850,7960,7980,8010,8520,,,,,,,,,,,,,,,,
19156792843,7790,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792844,2010,7697,7827,,,,,,,,,,,,,,,,,,,,,,,,
19156792845,7710,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792846,7659,8017,,,,,,,,,,,,,,,,,,,,,,,,,
19156792847,1101,8500,,,,,,,,,,,,,,,,,,,,,,,,,
19156792848,1350,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792849,3700,7840,8010,9180,,,,,,,,,,,,,,,,,,,,,,,
19156792852,3500,7640,,,,,,,,,,,,,,,,,,,,,,,,,
19156792854,1150,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792855,3400,6217,,,,,,,,,,,,,,,,,,,,,,,,,
19156792857,2010,7710,7900,8010,,,,,,,,,,,,,,,,,,,,,,,
19156792860,1151,7740,,,,,,,,,,,,,,,,,,,,,,,,,
19156792861,3600,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156792863,3400,3700,6100,6210,,,,,,,,,,,,,,,,,,,,,,,
19156792864,2320,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156792867,1560,7960,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156792869,7827,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792870,6100,7747,,,,,,,,,,,,,,,,,,,,,,,,,
19156792871,3350,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792872,2050,7830,8510,,,,,,,,,,,,,,,,,,,,,,,,
19156792876,1900,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792879,1350,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792880,1350,3400,,,,,,,,,,,,,,,,,,,,,,,,,
19156792882,1350,3100,6207,7829,,,,,,,,,,,,,,,,,,,,,,,
19156792883,3400,7790,9150,,,,,,,,,,,,,,,,,,,,,,,,
19156792885,2800,4810,,,,,,,,,,,,,,,,,,,,,,,,,
19156792887,2017,7779,,,,,,,,,,,,,,,,,,,,,,,,,
19156792890,1250,1460,1869,2800,6110,,,,,,,,,,,,,,,,,,,,,,
19156792891,7840,91650,,,,,,,,,,,,,,,,,,,,,,,,,
19156792893,3250,3700,7980,8010,,,,,,,,,,,,,,,,,,,,,,,
19156792894,3600,7740,7780,7800,,,,,,,,,,,,,,,,,,,,,,,
19156792895,3100,3350,6000,6130,7780,,,,,,,,,,,,,,,,,,,,,,
19156792896,2010,8510,8520,,,,,,,,,,,,,,,,,,,,,,,,
19156792897,2760,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156792899,6000,6007,7740,,,,,,,,,,,,,,,,,,,,,,,,
19156792900,7810,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156792901,4960,7660,7760,,,,,,,,,,,,,,,,,,,,,,,,
19156792903,6200,9100,,,,,,,,,,,,,,,,,,,,,,,,,
19156792907,3700,5700,7770,7800,7820,7830,7980,9180,,,,,,,,,,,,,,,,,,,
19156792908,6000,6110,6210,,,,,,,,,,,,,,,,,,,,,,,,
19156792909,3700,9140,,,,,,,,,,,,,,,,,,,,,,,,,
19156792910,6100,7760,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156792911,5900,7650,,,,,,,,,,,,,,,,,,,,,,,,,
19156792912,7610,7780,8747,,,,,,,,,,,,,,,,,,,,,,,,
19156792913,4077,7670,,,,,,,,,,,,,,,,,,,,,,,,,
19156792914,7770,7900,,,,,,,,,,,,,,,,,,,,,,,,,
19156792915,7790,7850,,,,,,,,,,,,,,,,,,,,,,,,,
19156792916,7870,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792917,7850,8520,,,,,,,,,,,,,,,,,,,,,,,,,
19156792918,2010,3400,7827,,,,,,,,,,,,,,,,,,,,,,,,
19156792919,4960,7740,,,,,,,,,,,,,,,,,,,,,,,,,
19156792920,9140,9180,,,,,,,,,,,,,,,,,,,,,,,,,
19156792921,2800,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156792922,2760,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156792923,6210,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156792924,1150,7827,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156792928,9160,9170,,,,,,,,,,,,,,,,,,,,,,,,,
19156792929,2330,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156792934,1151,6207,,,,,,,,,,,,,,,,,,,,,,,,,
19156792936,1720,1900,4890,7720,7760,7850,,,,,,,,,,,,,,,,,,,,,
19156792938,2010,2050,7760,7800,7850,,,,,,,,,,,,,,,,,,,,,,
19156792939,3350,7690,7760,7960,,,,,,,,,,,,,,,,,,,,,,,
19156792942,7699,7779,7829,8519,9119,9129,,,,,,,,,,,,,,,,,,,,,
19156792944,1907,2017,7747,7760,8750,,,,,,,,,,,,,,,,,,,,,,
19156792946,2040,3400,,,,,,,,,,,,,,,,,,,,,,,,,
19156792948,2010,6000,,,,,,,,,,,,,,,,,,,,,,,,,
19156792949,1100,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156792951,6117,7690,,,,,,,,,,,,,,,,,,,,,,,,,
19156792953,8700,8720,8749,,,,,,,,,,,,,,,,,,,,,,,,
19156792954,7790,7830,,,,,,,,,,,,,,,,,,,,,,,,,
19156792955,2560,3100,7610,,,,,,,,,,,,,,,,,,,,,,,,
19156792957,7770,7860,,,,,,,,,,,,,,,,,,,,,,,,,
19156792958,7840,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156792960,2010,2017,6110,7860,9160,9170,,,,,,,,,,,,,,,,,,,,,
19156792961,9100,9150,,,,,,,,,,,,,,,,,,,,,,,,,
19156792962,7980,8720,,,,,,,,,,,,,,,,,,,,,,,,,
19156792964,2010,5700,,,,,,,,,,,,,,,,,,,,,,,,,
19156792965,1860,3250,,,,,,,,,,,,,,,,,,,,,,,,,
19156792966,3400,7740,7770,7800,,,,,,,,,,,,,,,,,,,,,,,
19156792967,3600,4930,,,,,,,,,,,,,,,,,,,,,,,,,
19156792969,1350,7740,7770,7820,,,,,,,,,,,,,,,,,,,,,,,
19156792970,2019,3400,7710,7860,7969,7980,9109,,,,,,,,,,,,,,,,,,,,
19156792971,2019,2049,4707,7870,,,,,,,,,,,,,,,,,,,,,,,
19156792972,1151,2760,7770,,,,,,,,,,,,,,,,,,,,,,,,
19156792973,3400,6110,7850,,,,,,,,,,,,,,,,,,,,,,,,
19156792974,7860,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156792976,2800,7810,9179,,,,,,,,,,,,,,,,,,,,,,,,
19156792977,4750,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156792978,6007,6117,7710,7810,9130,,,,,,,,,,,,,,,,,,,,,,
19156792982,3400,7699,7760,9189,,,,,,,,,,,,,,,,,,,,,,,
19156792983,7829,7839,9139,9149,,,,,,,,,,,,,,,,,,,,,,,
19156792986,7710,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156792992,7600,7610,,,,,,,,,,,,,,,,,,,,,,,,,
19156792994,7770,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156792995,1860,1900,2330,,,,,,,,,,,,,,,,,,,,,,,,
19156793001,6000,8750,,,,,,,,,,,,,,,,,,,,,,,,,
19156793002,2010,7800,,,,,,,,,,,,,,,,,,,,,,,,,
19156793003,2320,5700,,,,,,,,,,,,,,,,,,,,,,,,,
19156793004,7717,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156793006,7730,7770,7800,,,,,,,,,,,,,,,,,,,,,,,,
19156793008,1907,2049,9109,,,,,,,,,,,,,,,,,,,,,,,,
19156793009,1350,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156793010,2019,7609,7617,7679,,,,,,,,,,,,,,,,,,,,,,,
19156793011,2050,3100,8010,,,,,,,,,,,,,,,,,,,,,,,,
19156793013,2017,9130,,,,,,,,,,,,,,,,,,,,,,,,,
19156793020,1560,2010,3400,6117,8705,8725,8735,8745,,,,,,,,,,,,,,,,,,,
19156793023,3600,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156793027,7730,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156793031,1860,6000,6110,,,,,,,,,,,,,,,,,,,,,,,,
19156793033,6130,7690,7820,7830,,,,,,,,,,,,,,,,,,,,,,,
19156793034,2010,5700,,,,,,,,,,,,,,,,,,,,,,,,,
19156793037,1001,9100,,,,,,,,,,,,,,,,,,,,,,,,,
19156793038,6240,8500,8750,,,,,,,,,,,,,,,,,,,,,,,,
19156793039,5700,8720,,,,,,,,,,,,,,,,,,,,,,,,,
19156793041,7690,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156793042,1350,6210,7640,,,,,,,,,,,,,,,,,,,,,,,,
19156793043,1907,5909,,,,,,,,,,,,,,,,,,,,,,,,,
19156793044,2750,3409,5570,7659,7779,,,,,,,,,,,,,,,,,,,,,,
19156793045,2017,3350,3400,7699,,,,,,,,,,,,,,,,,,,,,,,
19156793046,1151,1900,6130,6207,7770,7780,7789,7820,7980,8705,,,,,,,,,,,,,,,,,
19156793047,1860,7860,,,,,,,,,,,,,,,,,,,,,,,,,
19156793048,6240,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156793050,1719,3509,,,,,,,,,,,,,,,,,,,,,,,,,
19156793052,9150,9160,,,,,,,,,,,,,,,,,,,,,,,,,
19156793054,2010,2330,7610,7740,7980,,,,,,,,,,,,,,,,,,,,,,
19156793055,1907,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156793057,1560,7690,7960,,,,,,,,,,,,,,,,,,,,,,,,
19156793058,1900,6000,6130,,,,,,,,,,,,,,,,,,,,,,,,
19156793063,4970,7740,7760,7780,7830,,,,,,,,,,,,,,,,,,,,,,
19156793064,4180,5000,5200,,,,,,,,,,,,,,,,,,,,,,,,
19156793067,7690,7770,92075,,,,,,,,,,,,,,,,,,,,,,,,
19156793068,1909,7619,7699,7969,8529,,,,,,,,,,,,,,,,,,,,,,
19156793069,6000,6100,6130,,,,,,,,,,,,,,,,,,,,,,,,
19156793070,4980,6130,,,,,,,,,,,,,,,,,,,,,,,,,
19156793071,1151,5900,,,,,,,,,,,,,,,,,,,,,,,,,
19156793072,2760,4757,6000,6110,6130,6210,7780,,,,,,,,,,,,,,,,,,,,
19156793073,2017,7780,9150,9170,9180,,,,,,,,,,,,,,,,,,,,,,
19156793076,6107,7697,7789,7839,,,,,,,,,,,,,,,,,,,,,,,
19156793077,1001,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156793078,7617,7660,7670,,,,,,,,,,,,,,,,,,,,,,,,
19156793079,6000,6117,7697,7779,9169,,,,,,,,,,,,,,,,,,,,,,
19156793080,6000,7600,,,,,,,,,,,,,,,,,,,,,,,,,
19156793081,3350,3400,6130,92076,,,,,,,,,,,,,,,,,,,,,,,
19156793082,1150,6110,7690,,,,,,,,,,,,,,,,,,,,,,,,
19156793087,1350,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156793088,6207,7740,7827,,,,,,,,,,,,,,,,,,,,,,,,
19156793089,3409,6007,6207,,,,,,,,,,,,,,,,,,,,,,,,
19156793091,2010,7820,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156793093,9110,9140,,,,,,,,,,,,,,,,,,,,,,,,,
19156793096,3409,7820,7860,,,,,,,,,,,,,,,,,,,,,,,,
19156793098,3600,6100,7720,7780,7820,7830,,,,,,,,,,,,,,,,,,,,,
19156793099,2010,3400,7780,,,,,,,,,,,,,,,,,,,,,,,,
19156793100,7610,7659,7820,7969,,,,,,,,,,,,,,,,,,,,,,,
19156793102,2017,6207,,,,,,,,,,,,,,,,,,,,,,,,,
19156793103,1059,1109,7839,,,,,,,,,,,,,,,,,,,,,,,,
19156793104,3700,5800,6100,6110,7770,,,,,,,,,,,,,,,,,,,,,,
19156793105,1900,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156793109,7610,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156793110,1907,2017,,,,,,,,,,,,,,,,,,,,,,,,,
19156793111,7769,9140,,,,,,,,,,,,,,,,,,,,,,,,,
19156793112,4890,7670,7790,7820,7860,7900,7980,8010,,,,,,,,,,,,,,,,,,,
19156793114,1250,7619,7809,,,,,,,,,,,,,,,,,,,,,,,,
19156793116,1860,7600,7607,7620,7640,7687,,,,,,,,,,,,,,,,,,,,,
19156793118,6100,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156793119,6110,7620,,,,,,,,,,,,,,,,,,,,,,,,,
19156793120,2010,7830,,,,,,,,,,,,,,,,,,,,,,,,,
19156793121,1907,2017,8747,,,,,,,,,,,,,,,,,,,,,,,,
19156793124,7760,7820,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156793127,4707,5900,6240,7730,,,,,,,,,,,,,,,,,,,,,,,
19156793128,7780,7860,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156793129,7800,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156793131,7770,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156793133,5800,7760,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156793135,8725,8745,,,,,,,,,,,,,,,,,,,,,,,,,
19156793136,1350,3400,7760,7820,7900,,,,,,,,,,,,,,,,,,,,,,
